BIB,Name,Country,Gender,Division,Swim,Bike,Run,Overall,Division Rank,Gender Rank,Overall Rank,T1,T2
4,"Frodeno, Jan",DEU,Male,MPRO,00:47:31,04:16:02,02:42:43,07:51:13,1,1,1,00:01:58,00:02:59
6,"O'donnell, Tim",USA,Male,MPRO,00:47:38,04:18:11,02:49:45,07:59:41,2,2,2,00:02:01,00:02:06
5,"Kienle, Sebastian",DEU,Male,MPRO,00:52:17,04:15:04,02:49:56,08:02:04,3,3,3,00:02:12,00:02:35
14,"Hoffman, Ben",USA,Male,MPRO,00:51:01,04:24:01,02:43:08,08:02:52,4,4,4,00:02:25,00:02:17
11,"Wurf, Cameron",AUS,Male,MPRO,00:52:25,04:14:44,02:55:03,08:06:41,5,5,5,00:02:07,00:02:22
9,"Skipper, Joe",GBR,Male,MPRO,00:52:28,04:16:18,02:53:30,08:07:46,6,6,6,00:02:29,00:03:01
7,"Currie, Braden",NZL,Male,MPRO,00:47:41,04:30:30,02:46:25,08:08:48,7,7,7,00:01:56,00:02:16
47,"Koutny, Philipp",CHE,Male,MPRO,00:52:20,04:15:14,02:57:50,08:10:29,8,8,8,00:02:06,00:02:59
2,"Aernouts, Bart",BEL,Male,MPRO,00:57:03,04:19:47,02:51:08,08:12:27,9,9,9,00:02:05,00:02:24
28,"Leiferman, Chris",USA,Male,MPRO,00:52:29,04:24:20,02:52:19,08:13:37,10,10,10,00:02:15,00:02:14
34,"Van berkel, Jan",CHE,Male,MPRO,00:50:53,04:32:09,02:47:36,08:15:19,11,11,11,00:02:15,00:02:26
16,"Reed, Tim",AUS,Male,MPRO,00:51:02,04:25:53,02:55:51,08:17:37,12,12,12,00:02:19,00:02:32
12,"Weiss, Michael",AUT,Male,MPRO,00:57:05,04:21:37,02:54:34,08:18:02,13,13,13,00:02:24,00:02:22
10,"Potts, Andy",USA,Male,MPRO,00:50:57,04:24:16,02:58:58,08:19:30,14,14,14,00:02:16,00:03:03
21,"Bakkegard, Daniel",DNK,Male,MPRO,00:47:35,04:37:18,02:49:50,08:19:38,15,15,15,00:02:12,00:02:43
56,"Van berkel, Tim",AUS,Male,MPRO,00:51:44,04:31:01,02:52:37,08:20:16,16,16,16,00:02:26,00:02:28
8,"Russell, Matthew",USA,Male,MPRO,00:52:23,04:17:25,03:07:22,08:22:18,17,17,17,00:02:18,00:02:50
27,"Hogenhaug, Kristian",DNK,Male,MPRO,00:52:21,04:15:21,03:10:28,08:23:36,18,18,18,00:02:12,00:03:14
57,"Viennot, Cyril",FRA,Male,MPRO,00:52:18,04:29:08,02:57:48,08:23:53,19,19,19,00:02:12,00:02:27
45,"Frommhold, Nils",DEU,Male,MPRO,00:50:47,04:24:29,03:05:10,08:24:56,20,20,20,00:02:08,00:02:22
24,"Brownlee, Alistair",GBR,Male,MPRO,00:47:33,04:19:58,03:13:00,08:25:03,21,21,21,00:02:07,00:02:25
17,"Sanders, Lionel",CAN,Male,MPRO,00:52:22,04:15:22,03:13:42,08:25:54,22,22,22,00:02:14,00:02:14
44,"Duelsen, Marc",DEU,Male,MPRO,00:52:21,04:28:26,03:01:14,08:26:35,23,23,23,00:02:07,00:02:27
30,"Sapunov, Daniil",UKR,Male,MPRO,00:50:55,04:33:57,02:58:07,08:28:22,24,24,24,00:02:25,00:02:58
38,"Clarke, Will",GBR,Male,MPRO,00:52:20,04:30:29,03:01:13,08:29:00,25,25,25,00:02:25,00:02:33
51,"Plese, David",SVN,Male,MPRO,00:52:28,04:31:56,02:59:56,08:30:03,26,26,26,00:02:33,00:03:10
40,"De elias, Mario",ARG,Male,MPRO,00:56:59,04:36:06,02:53:11,08:30:59,27,27,27,00:02:11,00:02:32
33,"Trautman, Matt",ZAF,Male,MPRO,00:52:14,04:25:06,03:11:25,08:33:05,28,28,28,00:01:58,00:02:22
22,"Llanos, Eneko",ESP,Male,MPRO,00:51:03,04:40:18,02:56:21,08:33:29,29,29,29,00:02:13,00:03:34
1855,"Marques, Sergio",PRT,Male,M35-39,00:58:51,04:37:54,02:53:19,08:35:12,1,30,30,00:02:39,00:02:29
53,"Silvestrin souza, Frank",BRA,Male,MPRO,00:50:55,04:41:52,02:59:04,08:37:06,30,31,31,00:02:24,00:02:51
3003,"Haug, Anne",DEU,Female,FPRO,00:54:09,04:50:17,02:51:07,08:40:10,1,1,32,00:02:02,00:02:35
42,"Drachler, Tobias",DEU,Male,MPRO,00:52:08,04:41:40,03:01:59,08:40:44,31,32,33,00:02:16,00:02:41
18,"Cunnama, James",ZAF,Male,MPRO,00:52:12,04:27:59,03:16:19,08:41:19,32,33,34,00:02:35,00:02:14
1793,"Dels, Christopher",DEU,Male,M35-39,00:59:08,04:40:50,02:56:55,08:44:12,2,34,35,00:03:19,00:04:00
36,"Amberger, Josh",AUS,Male,MPRO,00:47:28,04:27:16,03:25:25,08:44:29,33,35,36,00:02:00,00:02:20
1814,"Geldenhuys, Donovan",ZAF,Male,M35-39,00:55:03,04:40:36,03:02:54,08:45:17,3,36,37,00:03:46,00:02:58
35,"Alonso-mckernan, Clemente",ESP,Male,MPRO,00:51:41,04:43:10,03:03:54,08:45:40,34,37,38,00:02:27,00:04:28
3002,"Charles-barclay, Lucy",GBR,Female,FPRO,00:49:02,04:47:20,03:05:59,08:46:44,2,2,39,00:02:05,00:02:18
2026,"Caceres lopez, Ivan",ESP,Male,M30-34,00:54:41,04:50:03,02:55:42,08:47:08,1,38,40,00:03:30,00:03:12
2318,"Tomasz, Aaron",GBR,Male,M25-29,00:52:52,04:42:44,03:05:15,08:47:38,1,39,41,00:03:49,00:02:58
3006,"Crowley, Sarah",AUS,Female,FPRO,00:54:05,04:50:13,02:59:20,08:48:13,3,3,42,00:02:11,00:02:24
1318,"Vinokurov, Alexandre",KAZ,Male,M45-49,01:09:06,04:21:06,03:12:17,08:48:24,1,40,43,00:02:42,00:03:13
1884,"Picard, Raynard",MEX,Male,M35-39,01:04:32,04:36:36,03:00:31,08:48:33,4,41,44,00:02:43,00:04:11
2035,"Eddy, Neil",GBR,Male,M30-34,00:51:55,04:49:49,03:02:20,08:49:49,2,42,45,00:02:18,00:03:27
25,"Fontana, Daniel",ITA,Male,MPRO,00:51:01,04:41:59,03:13:17,08:51:17,35,43,46,00:02:17,00:02:43
1815,"Giuliano, Ryan",USA,Male,M35-39,01:00:02,04:44:50,03:01:18,08:51:34,5,44,47,00:02:28,00:02:56
3021,"Philipp, Laura",DEU,Female,FPRO,00:59:03,04:45:04,03:02:11,08:51:42,4,4,48,00:02:27,00:02:57
1789,"De korver, Derk",NLD,Male,M35-39,01:01:42,04:33:38,03:11:07,08:52:54,6,45,49,00:02:53,00:03:34
2116,"Perez garcia, Javier",ESP,Male,M30-34,01:01:38,04:51:31,02:55:55,08:53:52,3,46,50,00:02:11,00:02:37
46,"Gambles, Joe",AUS,Male,MPRO,00:51:47,04:31:01,03:26:18,08:54:14,36,47,51,00:02:15,00:02:53
3011,"Jackson, Heather",USA,Female,FPRO,00:59:12,04:46:45,03:04:17,08:54:44,5,5,52,00:02:17,00:02:13
2060,"Herber, Philipp",DEU,Male,M30-34,00:59:07,04:44:15,03:05:54,08:55:15,4,48,53,00:02:48,00:03:11
2165,"Wies, Sven",DEU,Male,M30-34,00:52:46,04:46:23,03:11:41,08:55:26,5,49,54,00:02:04,00:02:32
3007,"Sali, Kaisa",FIN,Female,FPRO,00:59:14,04:53:53,02:57:18,08:55:33,6,6,55,00:02:11,00:02:57
1936,"Winkler, Benjamin",DEU,Male,M35-39,00:53:08,04:42:07,03:15:14,08:56:27,7,50,56,00:02:27,00:03:31
1623,"Sorensen, Carsten Demant",DNK,Male,M40-44,00:53:58,04:46:01,03:10:04,08:56:49,1,51,57,00:03:17,00:03:29
2250,"Enzenberger, Georg",AUT,Male,M25-29,00:57:35,04:38:39,03:14:55,08:56:51,2,52,58,00:02:40,00:03:02
1816,"Gleeson, Dylan",CAN,Male,M35-39,00:56:52,04:38:14,03:15:45,08:56:58,8,53,59,00:02:48,00:03:19
2055,"Hauwert, Levi",AUS,Male,M30-34,00:56:11,04:39:45,03:15:25,08:57:06,6,54,60,00:02:52,00:02:53
2249,"Eccleston, Lewis",GBR,Male,M25-29,00:58:55,04:44:08,03:08:16,08:57:49,3,55,61,00:03:01,00:03:29
2066,"Jackson, Steve",USA,Male,M30-34,00:51:02,04:46:19,03:15:21,08:58:00,7,56,62,00:02:09,00:03:09
3008,"Abraham, Corinne",GBR,Female,FPRO,01:02:46,04:51:15,02:59:28,08:58:38,7,7,63,00:02:31,00:02:38
3012,"Lester, Carrie",AUS,Female,FPRO,00:54:15,04:50:01,03:09:37,08:58:40,8,8,64,00:02:22,00:02:25
1879,"Perche, Antoine",FRA,Male,M35-39,00:54:52,04:43:49,03:15:34,08:59:19,9,57,65,00:02:20,00:02:44
2303,"Schmidbauer, Florian",DEU,Male,M25-29,00:54:48,04:49:56,03:08:21,08:59:25,4,58,66,00:03:21,00:02:59
1164,"Galindez, Oscar",ARG,Male,M45-49,00:57:29,04:45:24,03:08:47,08:59:27,2,59,67,00:04:29,00:03:18
1562,"Madsen, Jesper Sundstrup",DNK,Male,M40-44,01:04:00,04:46:14,03:04:04,09:00:14,2,60,68,00:03:10,00:02:46
1504,"Godart, Olivier",LUX,Male,M40-44,01:03:48,04:53:32,02:55:31,09:00:24,3,61,69,00:03:51,00:03:42
2156,"Vandenbroele, Niels",BEL,Male,M30-34,00:55:58,04:44:57,03:12:35,09:00:43,8,62,70,00:02:45,00:04:28
1903,"Storzer, Christian",DEU,Male,M35-39,00:59:16,04:37:37,03:18:11,09:00:52,10,63,71,00:02:51,00:02:57
32,"Svensson, Jesper",SWE,Male,MPRO,00:47:42,04:27:33,03:41:22,09:00:53,37,64,72,00:02:00,00:02:16
39,"Clavel, Maurice",DEU,Male,MPRO,00:47:40,04:38:33,03:28:39,09:01:05,38,65,73,00:01:58,00:04:15
2280,"Li, Peng Cheng",CHN,Male,M25-29,00:58:47,04:51:03,03:05:56,09:01:29,5,66,74,00:02:17,00:03:26
1817,"Gohner, Michael Tobias",DEU,Male,M35-39,00:59:45,04:36:54,03:19:28,09:02:07,11,67,75,00:02:50,00:03:10
1808,"Fogarty, Brian William",GBR,Male,M35-39,01:06:16,04:33:50,03:15:06,09:02:26,12,68,76,00:03:00,00:04:14
1909,"Takenaka, Alexandre",BRA,Male,M35-39,00:54:43,04:50:13,03:11:59,09:02:45,13,69,77,00:02:29,00:03:21
2095,"Mattner, Christoph",DEU,Male,M30-34,00:59:16,04:53:00,03:05:28,09:03:02,9,70,78,00:02:35,00:02:43
2088,"Malone, Matthew",USA,Male,M30-34,00:58:42,04:57:07,03:01:40,09:04:20,10,71,79,00:02:52,00:03:59
1607,"Scheiderbauer, Jorg",DEU,Male,M40-44,00:59:02,04:42:10,03:16:51,09:04:25,4,72,80,00:02:47,00:03:35
1799,"Elliott, Thomas",GBR,Male,M35-39,01:06:11,04:44:07,03:07:11,09:04:27,14,73,81,00:03:31,00:03:27
1658,"Williams, Brice",USA,Male,M40-44,00:56:18,04:56:08,03:07:12,09:05:26,5,74,82,00:02:55,00:02:53
29,"Phillips, Mike",NZL,Male,MPRO,00:50:55,04:33:55,03:36:02,09:05:29,39,75,83,00:02:03,00:02:34
1882,"Perget, Mathieu",FRA,Male,M35-39,01:04:11,04:40:03,03:13:58,09:05:47,15,76,84,00:04:18,00:03:17
1898,"Seewald, Jan Simon",DEU,Male,M35-39,00:59:19,04:43:34,03:16:53,09:06:18,16,77,85,00:03:23,00:03:09
2028,"Changeon, Gwenael",FRA,Male,M30-34,01:00:30,04:49:41,03:10:33,09:06:32,11,78,86,00:02:53,00:02:55
1287,"Schifferle, Mike",CHE,Male,M45-49,01:02:32,04:50:11,03:05:06,09:06:49,3,79,87,00:04:12,00:04:48
2080,"Kriszeleit, Leon",DEU,Male,M30-34,00:59:14,04:55:48,03:06:25,09:07:11,12,80,88,00:02:17,00:03:27
2153,"Uribe, Nicolas",COL,Male,M30-34,00:54:46,04:41:31,03:25:33,09:07:38,13,81,89,00:03:09,00:02:39
1265,"Pellew, Mark",ZAF,Male,M45-49,00:57:00,04:55:13,03:07:53,09:08:06,4,82,90,00:03:44,00:04:16
2407,"Palm-henriksen, Gustav",DNK,Male,M18-24,00:54:48,04:42:36,03:26:02,09:08:13,1,83,91,00:02:12,00:02:35
3023,"Bleymehl, Daniela",DEU,Female,FPRO,00:59:06,04:45:08,03:19:32,09:08:30,9,9,92,00:02:06,00:02:38
52,"Schumacher, Stefan",DEU,Male,MPRO,01:04:31,04:30:16,03:26:58,09:08:54,40,84,93,00:03:42,00:03:27
3009,"Corbin, Linsey",USA,Female,FPRO,00:59:09,05:00:25,03:03:50,09:09:06,10,10,94,00:02:55,00:02:47
1809,"Furnschuss, Thomas",AUT,Male,M35-39,01:01:39,04:47:44,03:14:07,09:09:09,17,85,95,00:02:22,00:03:17
1824,"Hummel, Timo",DEU,Male,M35-39,00:58:45,04:57:12,03:07:53,09:09:28,18,86,96,00:02:33,00:03:05
2239,"Braun, Maximilian",AUT,Male,M25-29,00:58:54,04:54:36,03:09:32,09:09:32,6,87,97,00:02:29,00:04:01
2057,"Heining, Tobias",DEU,Male,M30-34,00:54:51,04:45:14,03:23:45,09:09:55,14,88,98,00:02:46,00:03:19
2278,"Leblanc, Simon",CAN,Male,M25-29,00:57:44,04:58:24,03:06:51,09:10:02,7,89,99,00:03:42,00:03:21
1605,"Saraiva junior, Vicente",BRA,Male,M40-44,00:54:52,04:53:11,03:12:57,09:10:23,6,90,100,00:04:07,00:05:16
3041,"Stage-nielsen, Maja",DNK,Female,FPRO,00:59:04,05:00:47,03:05:47,09:10:28,11,11,101,00:02:27,00:02:23
2293,"Petrasek, Pavel",CZE,Male,M25-29,00:58:01,04:55:03,03:10:55,09:10:43,8,91,102,00:03:06,00:03:38
2081,"Kruse, Dennis",DEU,Male,M30-34,00:54:53,04:53:39,03:15:05,09:10:52,15,92,103,00:02:54,00:04:21
1851,"Maley, Joel",CAN,Male,M35-39,01:12:10,04:48:10,03:03:52,09:11:03,19,93,104,00:03:31,00:03:20
2017,"Banick, Norman",DEU,Male,M30-34,00:59:43,04:49:16,03:15:09,09:11:09,16,94,105,00:03:25,00:03:36
2071,"Junod, Joel",CHE,Male,M30-34,01:01:39,04:47:24,03:16:38,09:11:27,17,95,106,00:02:32,00:03:14
2029,"Chapman, Nicholas",ZAF,Male,M30-34,01:08:00,04:42:37,03:12:53,09:11:49,18,96,107,00:04:48,00:03:31
2110,"O'loughlin, Brendan",AUS,Male,M30-34,00:54:15,04:47:50,03:23:21,09:12:04,19,97,108,00:03:48,00:02:50
2079,"Kosov, Ilya",RUS,Male,M30-34,00:54:38,04:58:57,03:10:31,09:12:08,20,98,109,00:03:42,00:04:20
2322,"Wolpert, Hannes",DEU,Male,M25-29,00:51:55,04:57:23,03:17:00,09:12:13,9,99,110,00:02:24,00:03:31
2276,"Largo flores, Miguel",ESP,Male,M25-29,01:01:12,04:54:59,03:10:05,09:12:28,10,100,111,00:02:32,00:03:40
2302,"Schipperges, Elias",DEU,Male,M25-29,00:53:05,05:03:08,03:09:56,09:12:37,11,101,112,00:03:10,00:03:18
2321,"Winbrock, Bren",USA,Male,M25-29,01:03:59,04:59:59,03:03:00,09:13:00,12,102,113,00:03:20,00:02:42
2415,"Terrier, Vincent",FRA,Male,M18-24,00:56:31,04:53:19,03:17:31,09:13:10,2,103,114,00:02:24,00:03:25
3039,"Simmonds, Imogen",CHE,Female,FPRO,00:54:10,04:53:25,03:21:00,09:13:20,12,12,115,00:02:10,00:02:35
2394,"Holzmann, Tom",DEU,Male,M18-24,00:59:09,04:55:01,03:12:59,09:13:35,3,104,116,00:03:23,00:03:03
1581,"Ortega, Francisco",ESP,Male,M40-44,00:59:01,04:51:50,03:14:41,09:13:39,7,105,117,00:02:55,00:05:12
2034,"Donofrio, Vince",USA,Male,M30-34,00:59:34,05:05:02,03:02:45,09:13:47,21,106,118,00:03:29,00:02:57
1641,"Valencia, Juan",COL,Male,M40-44,00:53:15,04:52:09,03:21:45,09:13:52,8,107,119,00:03:57,00:02:46
2241,"Calmann, Aleksej",DNK,Male,M25-29,01:08:56,04:31:12,03:26:47,09:13:53,13,108,120,00:03:15,00:03:43
1865,"Miller, Ryan",AUS,Male,M35-39,01:03:53,04:59:17,03:03:57,09:13:58,20,109,121,00:02:41,00:04:10
2032,"Criado, Romain",FRA,Male,M30-34,00:57:13,04:55:18,03:15:48,09:14:08,22,110,122,00:02:57,00:02:52
3001,"Ryf, Daniela",CHE,Female,FPRO,00:54:20,04:54:19,03:20:36,09:14:26,13,13,123,00:02:33,00:02:38
2131,"Saroni, Mark",USA,Male,M30-34,00:57:14,04:54:05,03:17:40,09:14:30,23,111,124,00:02:38,00:02:53
2283,"Marcantonio, Nicholas",USA,Male,M25-29,00:59:04,04:50:26,03:14:01,09:14:48,14,112,125,00:04:57,00:06:20
1173,"Graca, Jose",BRA,Male,M45-49,00:58:52,04:56:33,03:11:39,09:14:59,5,113,126,00:03:26,00:04:29
1513,"Gyde, Sam",BEL,Male,M40-44,01:07:47,04:43:57,03:15:53,09:15:27,9,114,127,00:03:51,00:03:59
1543,"Kunath, Sven",DEU,Male,M40-44,01:04:20,04:52:22,03:10:50,09:15:59,10,115,128,00:03:59,00:04:28
2014,"Arce, Andres",PRY,Male,M30-34,00:59:14,04:55:00,03:13:25,09:16:17,24,116,129,00:04:34,00:04:04
2235,"Besse, Benjamin",USA,Male,M25-29,00:59:23,04:57:44,03:12:21,09:16:19,15,117,130,00:03:15,00:03:36
3022,"Piampiano, Sarah",USA,Female,FPRO,01:04:36,04:57:04,03:08:54,09:16:29,14,14,131,00:02:51,00:03:04
2089,"Marin, Thomas",FRA,Male,M30-34,00:54:37,04:59:46,03:16:24,09:16:32,25,118,132,00:02:58,00:02:47
1759,"Bergamo, Enzo",ITA,Male,M35-39,01:01:43,04:52:46,03:15:01,09:16:33,21,119,133,00:03:09,00:03:54
3030,"Frades, Gurutze",ESP,Female,FPRO,01:04:38,05:08:07,02:58:45,09:16:50,15,15,134,00:02:27,00:02:53
2036,"Ek, Kristian",SWE,Male,M30-34,01:03:03,04:52:38,03:15:14,09:16:53,26,120,135,00:02:42,00:03:16
2123,"Rigby, Tom",GBR,Male,M30-34,01:02:51,04:45:52,03:22:49,09:17:18,27,121,136,00:02:56,00:02:50
2253,"Flynn, Jake",AUS,Male,M25-29,01:08:15,04:43:20,03:16:43,09:17:25,16,122,137,00:05:08,00:03:59
974,"Philippe, Anthony",FRA,Male,M50-54,01:02:47,04:58:55,03:08:10,09:17:29,1,123,138,00:03:28,00:04:09
1916,"Thomas, Jay",AUS,Male,M35-39,00:54:55,04:55:16,03:21:56,09:17:34,22,124,139,00:02:49,00:02:38
1751,"Arranz, Jose",ESP,Male,M35-39,01:03:28,04:52:23,03:14:01,09:18:00,23,125,140,00:03:53,00:04:15
1628,"St-pierre, Ernest",CAN,Male,M40-44,01:05:11,04:43:30,03:20:32,09:18:02,11,126,141,00:04:35,00:04:14
1913,"Taylor, Michael",GBR,Male,M35-39,01:00:15,05:10:18,03:00:12,09:18:12,24,127,142,00:02:58,00:04:29
2232,"Barnes, Jacob",USA,Male,M25-29,01:02:22,04:54:45,03:14:22,09:18:18,17,128,143,00:03:13,00:03:36
1860,"Mayr, Mathias",DEU,Male,M35-39,01:03:06,04:53:56,03:12:51,09:18:21,25,129,144,00:04:16,00:04:12
3043,"Visser, Els",NLD,Female,FPRO,01:02:44,04:51:43,03:19:42,09:18:42,16,16,145,00:02:07,00:02:26
2159,"Venema, Tjebbe",NLD,Male,M30-34,01:03:36,04:48:55,03:19:50,09:18:42,28,130,145,00:02:45,00:03:36
1557,"Lopes, Marcelo",BRA,Male,M40-44,01:04:13,04:57:53,03:08:49,09:18:56,12,131,147,00:03:49,00:04:12
